64
# x y z
0.090 0.430 0.000
12 15 26 29 1236.973690 0.001856
12 15 27 30 2806.876210 2.350590
12 15 28 31 3209.226080 2.629443
12 15 29 32 2387.885155 0.917532
12 15 30 33 -1995.856550 2.591825
12 15 31 34 -2637.060845 2.099313
12 15 32 35 -2798.406245 1.815006
12 15 33 36 393.175946 1.168369
12 15 34 37 977.477555 1.841074
12 15 35 38 1584.470865 1.892413
12 15 36 39 1807.218800 1.772444
12 15 37 40 1404.183465 1.062862
12 15 38 41 -1415.893510 2.216952
12 15 39 42 -1839.720890 1.773810
12 15 40 43 -1886.052950 1.800393
12 15 41 44 473.450143 0.701392
12 15 42 45 756.710063 0.947675
12 15 43 46 1000.838254 1.379928
12 15 44 47 1137.380395 1.188339
12 15 45 48 975.969581 1.448497
12 15 46 49 -1069.040630 1.634091
12 15 47 50 -1335.671085 1.509347
12 15 48 51 -1367.835070 1.746249
12 15 49 52 450.883352 0.983798
12 15 50 53 596.937504 0.948692
12 15 51 54 725.267710 0.687071
12 15 52 55 804.824815 1.203544
12 15 53 56 746.995399 1.218106
12 15 54 57 -893.076687 0.931634
12 15 55 58 -1056.738880 1.684880
12 15 56 59 -1093.771110 1.611783
12 15 57 60 428.957225 0.931680
12 15 58 61 526.226214 1.221818
12 15 59 62 610.677123 1.309367
12 15 60 63 634.423877 1.708976
12 15 61 64 595.042065 1.865476
12 15 62 1 -3108.565105 1.111186
12 15 63 2 -4337.259695 1.335064
12 15 64 3 -6437.454445 0.830708
13 16 14 17 299.371044 2.184671
13 16 15 18 -3250.125620 1.221592
13 16 17 20 -1904.673655 0.032975
13 16 18 21 -1593.505655 1.224835
13 16 19 22 1400.155110 1.340641
13 16 20 23 4554.740755 0.032897
13 16 23 26 -2307.233565 1.719330
13 16 29 32 2462.888040 0.687580
13 16 31 34 -1538.230475 2.863959
13 16 32 35 -2090.877430 2.451156
13 16 33 36 95.878308 2.411511
13 16 35 38 882.970581 2.731591
13 16 36 39 1284.017105 2.480757
13 16 37 40 1285.970215 0.939301
13 16 39 42 -1179.206035 2.458843
13 16 40 43 -1378.369485 2.309794
13 16 41 44 245.233077 0.135050
13 16 42 45 429.687959 0.338578
13 16 43 46 641.057810 0.799061
13 16 44 47 817.530302 0.409328
13 16 45 48 782.732352 0.833867
13 16 46 49 -656.653407 2.514845
13 16 47 50 -899.528034 2.335103
13 16 48 51 -987.175954 2.446958
13 16 49 52 268.568442 0.060490
13 16 50 53 373.727178 0.068583
13 16 51 54 484.809776 0.134699
13 16 52 55 575.508415 0.616377
13 16 53 56 567.537711 0.730719
13 16 54 57 -578.736517 0.269511
13 16 55 58 -721.326628 2.310150
13 16 56 59 -781.392580 2.189222
13 16 57 60 269.107493 0.243575
13 16 58 61 342.352558 0.579636
13 16 59 62 416.194423 0.735162
13 16 60 63 452.721642 1.123839
13 16 61 64 441.226687 1.325440
13 16 62 1 -1797.868185 1.767428
13 16 63 2 -2490.177460 2.083420
13 16 64 3 -3727.845755 1.763619
14 17 16 19 5978.331690 0.026440
14 17 18 21 -7237.268625 0.384097
14 17 19 22 -6607.165220 0.186660
14 17 20 23 -3345.735095 2.571514
14 17 21 24 -352.391403 0.771273
14 17 23 26 6773.353155 1.193651
14 17 24 27 4804.672245 0.154204
14 17 25 28 -4092.194995 0.572410
14 17 27 30 -4209.936660 0.689316
14 17 28 31 -2633.343265 2.003818
14 17 29 32 -1189.015740 0.253327
14 17 30 33 4947.439450 1.628460
14 17 32 35 3610.428630 1.904312
14 17 33 36 -2028.021810 0.969008
14 17 34 37 -2543.248095 1.232069
14 17 35 38 -2536.223545 1.956097
14 17 36 39 -2146.210560 1.561196
14 17 37 40 -1223.705815 0.261407
14 17 38 41 3043.688195 1.589528
14 17 39 42 3112.968995 1.420300
14 17 40 43 2708.288105 1.610117
14 17 41 44 -1338.455250 1.343839
14 17 42 45 -1610.597450 1.420208
14 17 43 46 -1639.097170 1.625647
14 17 44 47 -1563.213065 1.603771
14 17 45 48 -1197.068635 1.716531
14 17 46 49 2065.199275 1.000371
14 17 47 50 2244.434515 0.972400
14 17 48 51 2077.191765 1.343661
14 17 49 52 -1015.706520 1.824413
14 17 50 53 -1161.887300 1.632423
14 17 51 54 -1216.739510 1.235481
14 17 52 55 -1199.684550 1.536861
14 17 53 56 -1032.744685 1.476966
14 17 54 57 1657.338320 1.550998
14 17 55 58 1783.127825 1.173686
14 17 56 59 1712.181385 1.192820
14 17 57 60 -877.020395 1.673204
14 17 58 61 -979.479707 1.880453
14 17 59 62 -1027.228440 1.785504
14 17 63 2 5075.708305 2.566487
15 18 17 20 -3863.448855 0.753432
