64
# x y z
+.09000 +.43000 +.00000
+.14000 +.43000 +.00000
+.19000 +.43000 +.00000
+.24000 +.43000 +.00000
+.29000 +.43000 +.00000
+.34000 +.43000 +.00000
14 17 43 46 -1639.097170
14 17 44 47 -1563.213065
14 17 45 48 -1197.068635
14 17 46 49 2065.199275
14 17 47 50 2244.434515
14 17 48 51 2077.191765
14 17 49 52 -1015.706520
14 17 50 53 -1161.887300
14 17 51 54 -1216.739510
14 17 52 55 -1199.684550
14 17 53 56 -1032.744685
14 17 54 57 1657.338320
14 17 55 58 1783.127825
14 17 56 59 1712.181385
14 17 57 60 -877.020395
14 17 58 61 -979.479707
14 17 59 62 -1027.228440
14 17 60 63 -968.700842
14 17 61 64 -857.925164
14 17 63 2 5075.708305
14 17 64 3 2908.483710
15 18 17 20 -3863.448855
15 18 19 22 -7498.193720
15 18 20 23 -5263.490510
15 18 21 24 -2552.447300
15 18 22 25 6676.167340
15 18 23 26 7649.997820
15 18 25 28 -2563.015955
15 18 26 29 -4368.344480
15 18 27 30 -4833.118240
15 18 28 31 -3552.403145
15 18 29 32 -2206.373975
15 18 30 33 4277.120160
15 18 31 34 4435.116780
15 18 32 35 4197.389815
15 18 33 36 -1447.616235
15 18 34 37 -2327.340560
15 18 35 38 -2724.264280
15 18 36 39 -2585.497075
15 18 37 40 -1705.695780
15 18 38 41 2838.705065
15 18 39 42 3205.994190
15 18 40 43 3007.916185
15 18 41 44 -1119.079605
15 18 42 45 -1532.208880
15 18 43 46 -1731.128310
15 18 44 47 -1767.539810
15 18 45 48 -1420.049035
15 18 46 49 2002.179590
15 18 47 50 2311.732895
15 18 48 51 2239.750960
15 18 49 52 -919.290336
15 18 50 53 -1127.876925
15 18 51 54 -1259.463390
15 18 52 55 -1303.541195
15 18 53 56 -1159.191335
15 18 54 57 1627.513950
15 18 55 58 1827.319115
15 18 56 59 1815.770535
15 18 57 60 -823.565711
15 18 58 61 -962.058014
15 18 59 62 -1056.208405
